site,transect,quadrat,Cover,Percent
Dana Point,4,High,gooseneck_barnacles,0
Dana Point,4,High,anemone,0
Dana Point,5,Low,bare_rock,0
Dana Point,5,Low,algae,100
Dana Point,5,Low,mussels,0
Dana Point,5,Low,small_barnacles,0
Dana Point,5,Low,large_barnacles,0
Dana Point,5,Low,gooseneck_barnacles,0
Dana Point,5,Low,anemone,0
Dana Point,5,Mid,bare_rock,2
Dana Point,5,Mid,algae,20
Dana Point,5,Mid,mussels,35
Dana Point,5,Mid,small_barnacles,50
Dana Point,5,Mid,large_barnacles,30
Dana Point,5,Mid,gooseneck_barnacles,3
Dana Point,5,Mid,anemone,0
Dana Point,5,High,bare_rock,0
Dana Point,5,High,algae,5
Dana Point,5,High,mussels,5
Dana Point,5,High,small_barnacles,90
Dana Point,5,High,large_barnacles,2
Dana Point,5,High,gooseneck_barnacles,0
Dana Point,5,High,anemone,0
Dana Point,6,Low,bare_rock,2
Dana Point,6,Low,algae,95
Dana Point,6,Low,mussels,0
Dana Point,6,Low,small_barnacles,0
Dana Point,6,Low,large_barnacles,3
Dana Point,6,Low,gooseneck_barnacles,0
Dana Point,6,Low,anemone,0
Dana Point,6,Mid,bare_rock,0
Dana Point,6,Mid,algae,45
Dana Point,6,Mid,mussels,45
Dana Point,6,Mid,small_barnacles,60
Dana Point,6,Mid,large_barnacles,10
Dana Point,6,Mid,gooseneck_barnacles,0
Dana Point,6,Mid,anemone,5
Dana Point,6,High,bare_rock,30
Dana Point,6,High,algae,3
Dana Point,6,High,mussels,0
Dana Point,6,High,small_barnacles,70
Dana Point,6,High,large_barnacles,2
Dana Point,6,High,gooseneck_barnacles,0
Dana Point,6,High,anemone,2
Dana Point,7,Low,bare_rock,10
Dana Point,7,Low,algae,90
Dana Point,7,Low,mussels,0
Dana Point,7,Low,small_barnacles,5
Dana Point,7,Low,large_barnacles,2
Dana Point,7,Low,gooseneck_barnacles,0
Dana Point,7,Low,anemone,5
Dana Point,7,Mid,bare_rock,0
Dana Point,7,Mid,algae,95
Dana Point,7,Mid,mussels,5
Dana Point,7,Mid,small_barnacles,0
Dana Point,7,Mid,large_barnacles,0
Dana Point,7,Mid,gooseneck_barnacles,0
Dana Point,7,Mid,anemone,0
Dana Point,7,High,bare_rock,25
Dana Point,7,High,algae,25
Dana Point,7,High,mussels,0
Dana Point,7,High,small_barnacles,50
Dana Point,7,High,large_barnacles,0
Dana Point,7,High,gooseneck_barnacles,0
Dana Point,7,High,anemone,0
Dana Point,8,Low,bare_rock,3
Dana Point,8,Low,algae,95
Dana Point,8,Low,mussels,0
Dana Point,8,Low,small_barnacles,1
Dana Point,8,Low,large_barnacles,2
Dana Point,8,Low,gooseneck_barnacles,0
Dana Point,8,Low,anemone,0
Dana Point,8,Mid,bare_rock,2
Dana Point,8,Mid,algae,95
Dana Point,8,Mid,mussels,1
Dana Point,8,Mid,small_barnacles,3
Dana Point,8,Mid,large_barnacles,5
Dana Point,8,Mid,gooseneck_barnacles,0
Dana Point,8,Mid,anemone,0
Dana Point,8,High,bare_rock,5
Dana Point,8,High,algae,0
Dana Point,8,High,mussels,0
Dana Point,8,High,small_barnacles,95
Dana Point,8,High,large_barnacles,0
Dana Point,8,High,gooseneck_barnacles,0
Dana Point,8,High,anemone,0
Dana Point,9,Low,bare_rock,0
Dana Point,9,Low,algae,100
Dana Point,9,Low,mussels,0
Dana Point,9,Low,small_barnacles,0
Dana Point,9,Low,large_barnacles,0
Dana Point,9,Low,gooseneck_barnacles,0
Dana Point,9,Low,anemone,0
Dana Point,9,Mid,bare_rock,3
Dana Point,9,Mid,algae,90
Dana Point,9,Mid,mussels,0
Dana Point,9,Mid,small_barnacles,10
Dana Point,9,Mid,large_barnacles,0
Dana Point,9,Mid,gooseneck_barnacles,0
Dana Point,9,Mid,anemone,2
Dana Point,9,High,bare_rock,3
Dana Point,9,High,algae,15
Dana Point,9,High,mussels,5
Dana Point,9,High,small_barnacles,80
Dana Point,9,High,large_barnacles,0
Dana Point,9,High,gooseneck_barnacles,0
Dana Point,9,High,anemone,2
Dana Point,10,Low,bare_rock,0
Dana Point,10,Low,algae,95
Dana Point,10,Low,mussels,0
Dana Point,10,Low,small_barnacles,2
Dana Point,10,Low,large_barnacles,1
Dana Point,10,Low,gooseneck_barnacles,0
Dana Point,10,Low,anemone,2
Dana Point,10,Mid,bare_rock,0
Dana Point,10,Mid,algae,95
Dana Point,10,Mid,mussels,0
Dana Point,10,Mid,small_barnacles,2
Dana Point,10,Mid,large_barnacles,1
Dana Point,10,Mid,gooseneck_barnacles,0
Dana Point,10,Mid,anemone,2
Dana Point,10,High,bare_rock,0
Dana Point,10,High,algae,10
Dana Point,10,High,mussels,0
Dana Point,10,High,small_barnacles,90
Dana Point,10,High,large_barnacles,0
Dana Point,10,High,gooseneck_barnacles,0
Dana Point,10,High,anemone,0
Crystal Cove,1,Low,bare_rock,0
Crystal Cove,1,Low,algae,100
Crystal Cove,1,Low,mussels,0
Crystal Cove,1,Low,small_barnacles,0
Crystal Cove,1,Low,large_barnacles,0
Crystal Cove,1,Low,gooseneck_barnacles,0
Crystal Cove,1,Low,anemone,0
Crystal Cove,1,Mid,bare_rock,30
Crystal Cove,1,Mid,algae,5
Crystal Cove,1,Mid,mussels,60
Crystal Cove,1,Mid,small_barnacles,10
Crystal Cove,1,Mid,large_barnacles,5
Crystal Cove,1,Mid,gooseneck_barnacles,30
Crystal Cove,1,Mid,anemone,5
Crystal Cove,1,High,bare_rock,5
Crystal Cove,1,High,algae,3
Crystal Cove,1,High,mussels,2
Crystal Cove,1,High,small_barnacles,90
Crystal Cove,1,High,large_barnacles,0
Crystal Cove,1,High,gooseneck_barnacles,0
Crystal Cove,1,High,anemone,0
Crystal Cove,2,Low,bare_rock,0
Crystal Cove,2,Low,algae,80
Crystal Cove,2,Low,mussels,10
Crystal Cove,2,Low,small_barnacles,0
Crystal Cove,2,Low,large_barnacles,1
Crystal Cove,2,Low,gooseneck_barnacles,0
Crystal Cove,2,Low,anemone,0
Crystal Cove,2,Mid,bare_rock,15
Crystal Cove,2,Mid,algae,3
Crystal Cove,2,Mid,mussels,50
Crystal Cove,2,Mid,small_barnacles,30
Crystal Cove,2,Mid,large_barnacles,3
Crystal Cove,2,Mid,gooseneck_barnacles,25
Crystal Cove,2,Mid,anemone,2
Crystal Cove,2,High,bare_rock,30
Crystal Cove,2,High,algae,0
Crystal Cove,2,High,mussels,10
Crystal Cove,2,High,small_barnacles,40
Crystal Cove,2,High,large_barnacles,0
Crystal Cove,2,High,gooseneck_barnacles,10
Crystal Cove,2,High,anemone,10
Crystal Cove,3,Low,bare_rock,5
Crystal Cove,3,Low,algae,80
Crystal Cove,3,Low,mussels,2
Crystal Cove,3,Low,small_barnacles,1
Crystal Cove,3,Low,large_barnacles,15
Crystal Cove,3,Low,gooseneck_barnacles,1
Crystal Cove,3,Low,anemone,3
Crystal Cove,3,Mid,bare_rock,0
Crystal Cove,3,Mid,algae,15
Crystal Cove,3,Mid,mussels,60
Crystal Cove,3,Mid,small_barnacles,15
Crystal Cove,3,Mid,large_barnacles,5
Crystal Cove,3,Mid,gooseneck_barnacles,40
Crystal Cove,3,Mid,anemone,10
Crystal Cove,3,High,bare_rock,30
Crystal Cove,3,High,algae,0
Crystal Cove,3,High,mussels,5
Crystal Cove,3,High,small_barnacles,50
Crystal Cove,3,High,large_barnacles,3
Crystal Cove,3,High,gooseneck_barnacles,10
Crystal Cove,3,High,anemone,2
Crystal Cove,4,Low,bare_rock,0
Crystal Cove,4,Low,algae,80
Crystal Cove,4,Low,mussels,20
Crystal Cove,4,Low,small_barnacles,2
Crystal Cove,4,Low,large_barnacles,5
Crystal Cove,4,Low,gooseneck_barnacles,0
Crystal Cove,4,Low,anemone,3
Crystal Cove,4,Mid,bare_rock,15
Crystal Cove,4,Mid,algae,3
Crystal Cove,4,Mid,mussels,40
Crystal Cove,4,Mid,small_barnacles,10
Crystal Cove,4,Mid,large_barnacles,2
Crystal Cove,4,Mid,gooseneck_barnacles,50
Crystal Cove,4,Mid,anemone,5
Crystal Cove,4,High,bare_rock,5
Crystal Cove,4,High,algae,0
Crystal Cove,4,High,mussels,2
Crystal Cove,4,High,small_barnacles,90
Crystal Cove,4,High,large_barnacles,1
Crystal Cove,4,High,gooseneck_barnacles,0
Crystal Cove,4,High,anemone,3
Crystal Cove,5,Low,bare_rock,5
Crystal Cove,5,Low,algae,45
Crystal Cove,5,Low,mussels,1
Crystal Cove,5,Low,small_barnacles,0
Crystal Cove,5,Low,large_barnacles,15
Crystal Cove,5,Low,gooseneck_barnacles,1
Crystal Cove,5,Low,anemone,35
Crystal Cove,5,Mid,bare_rock,15
Crystal Cove,5,Mid,algae,5
Crystal Cove,5,Mid,mussels,30
Crystal Cove,5,Mid,small_barnacles,25
Crystal Cove,5,Mid,large_barnacles,5
Crystal Cove,5,Mid,gooseneck_barnacles,30
Crystal Cove,5,Mid,anemone,5
Crystal Cove,5,High,bare_rock,10
Crystal Cove,5,High,algae,5
Crystal Cove,5,High,mussels,5
Crystal Cove,5,High,small_barnacles,70
Crystal Cove,5,High,large_barnacles,0
Crystal Cove,5,High,gooseneck_barnacles,0
Crystal Cove,5,High,anemone,10
Crystal Cove,6,Low,bare_rock,5
Crystal Cove,6,Low,algae,80
Crystal Cove,6,Low,mussels,0
Crystal Cove,6,Low,small_barnacles,0
Crystal Cove,6,Low,large_barnacles,1
Crystal Cove,6,Low,gooseneck_barnacles,0
Crystal Cove,6,Low,anemone,15
Crystal Cove,6,Mid,bare_rock,20
Crystal Cove,6,Mid,algae,0
Crystal Cove,6,Mid,mussels,80
Crystal Cove,6,Mid,small_barnacles,50
Crystal Cove,6,Mid,large_barnacles,5
Crystal Cove,6,Mid,gooseneck_barnacles,10
Crystal Cove,6,Mid,anemone,5
Crystal Cove,6,High,bare_rock,40
Crystal Cove,6,High,algae,6
Crystal Cove,6,High,mussels,2
Crystal Cove,6,High,small_barnacles,50
Crystal Cove,6,High,large_barnacles,2
Crystal Cove,6,High,gooseneck_barnacles,2
Crystal Cove,6,High,anemone,4
Crystal Cove,7,Low,bare_rock,15
Crystal Cove,7,Low,algae,80
Crystal Cove,7,Low,mussels,0
Crystal Cove,7,Low,small_barnacles,0
Crystal Cove,7,Low,large_barnacles,0
Crystal Cove,7,Low,gooseneck_barnacles,0
Crystal Cove,7,Low,anemone,5
Crystal Cove,7,Mid,bare_rock,10
Crystal Cove,7,Mid,algae,0
Crystal Cove,7,Mid,mussels,50
Crystal Cove,7,Mid,small_barnacles,5
Crystal Cove,7,Mid,large_barnacles,5
Crystal Cove,7,Mid,gooseneck_barnacles,0
Crystal Cove,7,Mid,anemone,40
Crystal Cove,7,High,bare_rock,5
Crystal Cove,7,High,algae,5
Crystal Cove,7,High,mussels,5
Crystal Cove,7,High,small_barnacles,75
Crystal Cove,7,High,large_barnacles,0
Crystal Cove,7,High,gooseneck_barnacles,10
Crystal Cove,7,High,anemone,0
Crystal Cove,8,Low,bare_rock,0
Crystal Cove,8,Low,algae,70
Crystal Cove,8,Low,mussels,0
Crystal Cove,8,Low,small_barnacles,0
Crystal Cove,8,Low,large_barnacles,0
Crystal Cove,8,Low,gooseneck_barnacles,0
Crystal Cove,8,Low,anemone,30
Crystal Cove,8,Mid,bare_rock,20
Crystal Cove,8,Mid,algae,15
Crystal Cove,8,Mid,mussels,30
Crystal Cove,8,Mid,small_barnacles,5
Crystal Cove,8,Mid,large_barnacles,0
Crystal Cove,8,Mid,gooseneck_barnacles,35
Crystal Cove,8,Mid,anemone,25
Crystal Cove,8,High,bare_rock,25
Crystal Cove,8,High,algae,5
Crystal Cove,8,High,mussels,5
Crystal Cove,8,High,small_barnacles,50
Crystal Cove,8,High,large_barnacles,1
Crystal Cove,8,High,gooseneck_barnacles,15
Crystal Cove,8,High,anemone,0
Crystal Cove,9,Low,bare_rock,0
Crystal Cove,9,Low,algae,60
Crystal Cove,9,Low,mussels,0
Crystal Cove,9,Low,small_barnacles,0
Crystal Cove,9,Low,large_barnacles,0
Crystal Cove,9,Low,gooseneck_barnacles,0
Crystal Cove,9,Low,anemone,40
Crystal Cove,9,Mid,bare_rock,20
Crystal Cove,9,Mid,algae,0
Crystal Cove,9,Mid,mussels,30
Crystal Cove,9,Mid,small_barnacles,40
Crystal Cove,9,Mid,large_barnacles,1
Crystal Cove,9,Mid,gooseneck_barnacles,20
Crystal Cove,9,Mid,anemone,10
Crystal Cove,9,High,bare_rock,2
Crystal Cove,9,High,algae,0
Crystal Cove,9,High,mussels,0
Crystal Cove,9,High,small_barnacles,98
Crystal Cove,9,High,large_barnacles,0
Crystal Cove,9,High,gooseneck_barnacles,0
Crystal Cove,9,High,anemone,0
Crystal Cove,10,Low,bare_rock,0
Crystal Cove,10,Low,algae,85
Crystal Cove,10,Low,mussels,10
Crystal Cove,10,Low,small_barnacles,0
Crystal Cove,10,Low,large_barnacles,0
Crystal Cove,10,Low,gooseneck_barnacles,0
Crystal Cove,10,Low,anemone,5
Crystal Cove,10,Mid,bare_rock,0
Crystal Cove,10,Mid,algae,5
Crystal Cove,10,Mid,mussels,50
Crystal Cove,10,Mid,small_barnacles,3
Crystal Cove,10,Mid,large_barnacles,10
Crystal Cove,10,Mid,gooseneck_barnacles,5
Crystal Cove,10,Mid,anemone,40
Crystal Cove,10,High,bare_rock,40
Crystal Cove,10,High,algae,10
Crystal Cove,10,High,mussels,15
Crystal Cove,10,High,small_barnacles,10
Crystal Cove,10,High,large_barnacles,5
Crystal Cove,10,High,gooseneck_barnacles,20
Crystal Cove,10,High,anemone,15
Little Corona,1,Low,bare_rock,0
Little Corona,1,Low,algae,100
Little Corona,1,Low,mussels,0
Little Corona,1,Low,small_barnacles,0
Little Corona,1,Low,large_barnacles,0
Little Corona,1,Low,gooseneck_barnacles,0
Little Corona,1,Low,anemone,0
Little Corona,1,Mid,bare_rock,5
Little Corona,1,Mid,algae,90
Little Corona,1,Mid,mussels,10
Little Corona,1,Mid,small_barnacles,4
Little Corona,1,Mid,large_barnacles,3
Little Corona,1,Mid,gooseneck_barnacles,3
Little Corona,1,Mid,anemone,1
Little Corona,1,High,bare_rock,90
Little Corona,1,High,algae,5
Little Corona,1,High,mussels,0
Little Corona,1,High,small_barnacles,5
Little Corona,1,High,large_barnacles,0
Little Corona,1,High,gooseneck_barnacles,0
Little Corona,1,High,anemone,0
Little Corona,2,Low,bare_rock,20
Little Corona,2,Low,algae,80
Little Corona,2,Low,mussels,0
Little Corona,2,Low,small_barnacles,0
Little Corona,2,Low,large_barnacles,1
Little Corona,2,Low,gooseneck_barnacles,0
Little Corona,2,Low,anemone,0
Little Corona,2,Mid,bare_rock,50
Little Corona,2,Mid,algae,30
Little Corona,2,Mid,mussels,5
Little Corona,2,Mid,small_barnacles,5
Little Corona,2,Mid,large_barnacles,5
Little Corona,2,Mid,gooseneck_barnacles,5
Little Corona,2,Mid,anemone,3
Little Corona,2,High,bare_rock,80
Little Corona,2,High,algae,1
Little Corona,2,High,mussels,0
Little Corona,2,High,small_barnacles,10
Little Corona,2,High,large_barnacles,0
Little Corona,2,High,gooseneck_barnacles,0
Little Corona,2,High,anemone,20
Little Corona,3,Low,bare_rock,0
Little Corona,3,Low,algae,100
Little Corona,3,Low,mussels,0
Little Corona,3,Low,small_barnacles,0
Little Corona,3,Low,large_barnacles,1
Little Corona,3,Low,gooseneck_barnacles,0
Little Corona,3,Low,anemone,0
Little Corona,3,Mid,bare_rock,30
Little Corona,3,Mid,algae,40
Little Corona,3,Mid,mussels,5
Little Corona,3,Mid,small_barnacles,10
Little Corona,3,Mid,large_barnacles,5
Little Corona,3,Mid,gooseneck_barnacles,20
Little Corona,3,Mid,anemone,0
Little Corona,3,High,bare_rock,75
Little Corona,3,High,algae,3
Little Corona,3,High,mussels,2
Little Corona,3,High,small_barnacles,25
Little Corona,3,High,large_barnacles,0
Little Corona,3,High,gooseneck_barnacles,0
Little Corona,3,High,anemone,0
Little Corona,4,Low,bare_rock,25
Little Corona,4,Low,algae,75
Little Corona,4,Low,mussels,0
Little Corona,4,Low,small_barnacles,0
Little Corona,4,Low,large_barnacles,0
Little Corona,4,Low,gooseneck_barnacles,0
Little Corona,4,Low,anemone,0
Little Corona,4,Mid,bare_rock,0
Little Corona,4,Mid,algae,80
Little Corona,4,Mid,mussels,5
Little Corona,4,Mid,small_barnacles,2
Little Corona,4,Mid,large_barnacles,3
Little Corona,4,Mid,gooseneck_barnacles,0
Little Corona,4,Mid,anemone,0
Little Corona,4,High,bare_rock,25
Little Corona,4,High,algae,40
Little Corona,4,High,mussels,5
Little Corona,4,High,small_barnacles,30
Little Corona,4,High,large_barnacles,0
Little Corona,4,High,gooseneck_barnacles,0
Little Corona,4,High,anemone,0
Little Corona,5,Low,bare_rock,20
Little Corona,5,Low,algae,80
Little Corona,5,Low,mussels,0
Little Corona,5,Low,small_barnacles,0
Little Corona,5,Low,large_barnacles,0
Little Corona,5,Low,gooseneck_barnacles,0
Little Corona,5,Low,anemone,0
Little Corona,5,Mid,bare_rock,30
Little Corona,5,Mid,algae,60
Little Corona,5,Mid,mussels,5
